成稿文件,发布标题,话题类别,角度是否声明,口径,标题模式,总分,选题,标题分,首图,开头,正文,可信度,CTA,是否用quote金句,卡片数,卡片type序列,观看,点赞,收藏,评论,分享,搜索来源占比,收藏率,互动率
成稿_2026-08-02_结构化面试不能说.md,结构化面试什么不能说,求职期·行为面试,未声明,搜索流,其他,84,17,20,15,8,8,11,5,是,7,"cover,scene,why,quote,formula,contrast,boundary",156,2,4,0,1,,0.026,0.045
成稿_2026-08-02_谈薪预算就这么多.md,谈薪HR说预算就这么多怎么回,求职期·谈薪,未声明,搜索流,其他,86,17,19,15,10,9,11,5,是,7,"cover,scene,why,formula,quote,contrast,boundary",162,1,0,0,0,,0.0,0.006
成稿_2026-08-03_答辩讲一半被打断.md,答辩PPT讲到一半被打断怎么办,关键节点·晋升答辩,未声明,搜索流,其他,89,18,20,15,8,11,12,5,是,7,"cover,scene,contrast,quote,why,formula,boundary",10,0,1,0,0,,0.1,0.1
成稿_2026-08-04_领导不回三种情况.md,领导不回消息的三种情况，追问方式完全不同,日常协作·向上汇报,未声明,搜索流,数字悬念,86,18,18,14,9,13,10,4,是,7,"cover,scene,contrast,quote,why,formula,boundary",69,0,0,0,0,,0.0,0.0
成稿_2026-08-05_干最多的常被刷.md,晋升答辩有可能不过，被刷的常是干最多的,关键节点·晋升答辩,未声明,搜索流,认知反转/反常识,89,19,20,15,8,11,12,4,是,7,"cover,scene,contrast,quote,why,formula,boundary",305,6,6,1,1,2.6%,0.02,0.046
成稿_2026-08-05_轻视第二回合.md,职场被轻视，怼完他不收手不是你气势不够,日常协作·被冒犯时怎么回,未声明,搜索流,认知反转/反常识,88,16,17,15,10,12,13,5,是,7,"cover,scene,contrast,quote,why,formula,boundary",29,1,0,2,0,,0.0,0.103
成稿_2026-08-07_HR会通知你.md,HR说会通知你，被拒的从来不是这句,求职期·行为面试,未声明,搜索流,认知反转/反常识,87,17,17,13,13,16,6,5,是,7,"cover,scene,contrast,quote,why,formula,boundary",571,2,0,0,0,,0.0,0.004
成稿_2026-08-07_不想转正先定哪天说.md,试用期不想转正，领导在意的不是理由,入职适应期·试用期汇报,未声明,搜索流,认知反转/反常识,86,16,18,15,8,13,12,4,是,7,"cover,scene,contrast,quote,why,formula,boundary",80,0,0,0,0,,0.0,0.0
成稿_2026-08-07_空降后下属不服管.md,空降后下属不服管，他在等你兑现一件事,入职适应期·空降与新领导磨合,未声明,搜索流,其他,86,17,16,15,9,13,11,5,是,7,"cover,scene,contrast,quote,why,formula,boundary",142,2,5,0,0,1.6%,0.035,0.049
成稿_2026-08-08_先确权再谈价.md,工作变多了谈薪，他先算的不是工作量,求职期·谈薪,未声明,搜索流,认知反转/反常识,86,17,19,14,8,7,11,10,是,7,"cover,scene,contrast,quote,why,formula,boundary",318,7,2,0,0,8.5%,0.006,0.028
