阶段,场景,默认概念,关键词模板,匹配词,周目标篇数,来源
求职期,行为面试,结构力,面试怎么讲项目经历,行为面试|项目经历|结构化面试|面试官问|面试,1,Eric场景地图
求职期,压力面试,化解力/结构力,压力面试被怼怎么回,压力面试|面试被怼|面试被顶|面试被追问,1,Eric场景地图
求职期,技术面试,结构力,技术面试答不上来怎么说,技术面试|笔试|技术岗面试,1,Eric场景地图
求职期,群面,结构力/破冰力,群面怎么发言才不被淹没,群面|无领导小组|集体面试,1,Eric场景地图
求职期,缺点类面试题,示弱力,面试问缺点怎么答,你的缺点|问缺点|最大的缺点|短板,1,术语库scenarios补齐
求职期,谈薪,说服力,面试问期望薪资怎么答,期望薪资|谈薪|薪资谈判|薪酬谈判|工资流水|定薪|开多少,2,Eric场景地图
求职期,离职原因解释,示弱力,离职原因怎么说不减分,离职原因|为什么离职|空窗期|间隔期|gap,2,Eric场景地图
求职期,比价offer,说服力,手上两个offer怎么谈,两个offer|offer比较|比价|选offer,1,Eric场景地图
求职期,拒offer话术,边界力,怎么拒绝offer不得罪人,拒绝offer|拒offer,1,Eric场景地图
入职适应期,破冰自我介绍,破冰力,入职第一天怎么自我介绍,自我介绍|入职第一天|新人介绍|破冰,1,Eric场景地图
入职适应期,试用期汇报,结构力,试用期怎么汇报才算有结果,试用期|转正汇报,1,Eric场景地图
入职适应期,向前辈请教,破冰力/示弱力,怎么向老员工请教不招烦,请教|问前辈|带我的人,1,Eric场景地图
日常协作,向上汇报,结构力/说服力,向领导汇报怎么讲重点,汇报|领导不回|说完方案|向上管理|跟领导说|领导追问,2,Eric场景地图
日常协作,跨部门推动配合,说服力,跨部门推不动怎么沟通,跨部门|推不动|别的部门|协调,1,Eric场景地图
日常协作,拒绝不合理任务,边界力,怎么拒绝领导安排的活,拒绝|不想加班|不合理任务|额外的活|职场pua|PUA,2,Eric场景地图
日常协作,给同事负面反馈,反馈力,怎么给同事提意见不伤感情,提意见|指出错误|同事反馈,1,Eric场景地图
日常协作,会议发言抢话权,结构力/破冰力,开会插不上话怎么办,开会|会议发言|插不上话|抢话,1,Eric场景地图
关键节点,转正答辩,结构力,转正答辩怎么讲,转正答辩|转正述职|不想转正|提前转正,1,Eric场景地图
关键节点,年终述职,结构力/说服力,年终述职怎么写才亮眼,年终述职|年度总结|年终汇报|年终奖,2,Eric场景地图
关键节点,晋升答辩,说服力/结构力,晋升答辩被问倒怎么办,晋升|答辩|评委|升职,2,Eric场景地图
关键节点,加薪谈判,说服力,怎么跟领导开口加薪,加薪|涨薪|要求加工资,2,Eric场景地图
关键节点,绩效面谈,反馈力,绩效被打低分怎么谈,绩效|打低分|低绩效|考核,2,Eric场景地图
冲突危机,甩锅应对,化解力,被同事甩锅怎么回应,甩锅|背锅|抢功|推责,2,Eric场景地图
冲突危机,道歉认错的分寸,示弱力,工作出错怎么跟领导认错,认错|道歉|工作出错|闯祸,1,Eric场景地图
冲突危机,离职谈判,边界力/化解力,提离职怎么谈才体面,提离职|辞职|离职谈判|离职沟通,1,Eric场景地图
冲突危机,被裁员时的沟通,化解力,被裁员谈话怎么说,裁员|被裁|优化谈话|N+1,1,Eric场景地图
管理场景,布置任务,结构力,怎么给下属布置任务才不返工,布置任务|安排工作|下属执行,1,Eric场景地图
管理场景,批评下属,反馈力,怎么批评下属不让他记恨,批评下属|管理下属|不服管|带团队,1,Eric场景地图
管理场景,跨级汇报,说服力/结构力,跨级汇报怎么说才不越位,跨级|越级|大老板|一把手|总经理|大领导,1,Eric场景地图
日常协作,被问住时怎么接话,化解力/结构力,职场被问住了怎么接话,接话|不会聊天|反应慢|被问住|冷场|不知道说什么,2,实测补充_20260816版图
日常协作,被冒犯时怎么回,边界力/化解力,同事阴阳怪气怎么回怼,回怼|阴阳怪气|被冒犯|怼回去|挑衅|轻视|孤立|针对我,2,实测补充_20260816版图
日常协作,弱者气息与配得感,说服力,怎么说话才有底气不卑微,弱者|配得感|底气|卑微|不自信|气场|低人一等,1,实测补充_20260816版图
关键节点,上台发言紧张,破冰力,当众发言紧张怎么办,紧张|当众|上台|怯场,1,实测补充_20260816版图
