日期,阶段,场景,概念,关键词模板,原因
2026-08-18,日常协作,拒绝不合理任务,边界力,怎么拒绝领导安排的活,评论区有 8 条真实语料落在这个场景，90 天内零产出
2026-08-18,求职期,缺点类面试题,示弱力,面试问缺点怎么答,评论区有 5 条真实语料落在这个场景，90 天内零产出
2026-08-18,关键节点,加薪谈判,说服力,怎么跟领导开口加薪,评论区有 3 条真实语料落在这个场景，90 天内零产出
2026-08-18,冲突危机,甩锅应对,化解力,被同事甩锅怎么回应,评论区有 2 条真实语料落在这个场景，90 天内零产出
2026-08-18,日常协作,会议发言抢话权,结构力/破冰力,开会插不上话怎么办,评论区有 1 条真实语料落在这个场景，90 天内零产出
2026-08-18,冲突危机,道歉认错的分寸,示弱力,工作出错怎么跟领导认错,评论区有 1 条真实语料落在这个场景，90 天内零产出
2026-08-19,日常协作,拒绝不合理任务,边界力,怎么拒绝领导安排的活,缺口 4.0 篇，词库里该场景 0 个可写词
2026-08-20,日常协作,拒绝不合理任务,边界力,怎么拒绝领导安排的活,缺口 4.0 篇，词库里该场景 0 个可写词
2026-08-20,冲突危机,甩锅应对,化解力,被同事甩锅怎么回应,缺口 4.0 篇，词库里该场景 0 个可写词
2026-08-21,日常协作,拒绝不合理任务,边界力,怎么拒绝领导安排的活,缺口 4.0 篇，词库里该场景 0 个可写词
2026-08-21,冲突危机,甩锅应对,化解力,被同事甩锅怎么回应,缺口 4.0 篇，词库里该场景 0 个可写词
2026-08-21,日常协作,被冒犯时怎么回,边界力/化解力,同事阴阳怪气怎么回怼,缺口 4.0 篇，词库里该场景 0 个可写词
2026-08-21,关键节点,年终述职,结构力/说服力,年终述职怎么写才亮眼,缺口 3.0 篇，词库里该场景 0 个可写词
2026-08-22,冲突危机,甩锅应对,化解力,被同事甩锅怎么回应,缺口 4.0 篇，词库里该场景 0 个可写词
2026-08-22,日常协作,被问住时怎么接话,化解力/结构力,职场被问住了怎么接话,缺口 4.0 篇，词库里该场景 0 个可写词
2026-08-22,日常协作,被冒犯时怎么回,边界力/化解力,同事阴阳怪气怎么回怼,缺口 4.0 篇，词库里该场景 0 个可写词
2026-08-22,关键节点,年终述职,结构力/说服力,年终述职怎么写才亮眼,缺口 3.0 篇，词库里该场景 0 个可写词
2026-08-22,求职期,技术面试,结构力,技术面试答不上来怎么说,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,求职期,群面,结构力/破冰力,群面怎么发言才不被淹没,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,求职期,比价offer,说服力,手上两个offer怎么谈,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,求职期,拒offer话术,边界力,怎么拒绝offer不得罪人,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,入职适应期,破冰自我介绍,破冰力,入职第一天怎么自我介绍,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,入职适应期,向前辈请教,破冰力/示弱力,怎么向老员工请教不招烦,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,日常协作,跨部门推动配合,说服力,跨部门推不动怎么沟通,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,日常协作,拒绝不合理任务,边界力,怎么拒绝领导安排的活,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,日常协作,给同事负面反馈,反馈力,怎么给同事提意见不伤感情,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,关键节点,加薪谈判,说服力,怎么跟领导开口加薪,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,冲突危机,道歉认错的分寸,示弱力,工作出错怎么跟领导认错,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,冲突危机,离职谈判,边界力/化解力,提离职怎么谈才体面,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,冲突危机,被裁员时的沟通,化解力,被裁员谈话怎么说,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,管理场景,布置任务,结构力,怎么给下属布置任务才不返工,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,管理场景,批评下属,反馈力,怎么批评下属不让他记恨,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,管理场景,跨级汇报,说服力/结构力,跨级汇报怎么说才不越位,缺口 2.0 篇，词库里该场景 0 个可写词
2026-08-22,求职期,压力面试,化解力/结构力,压力面试被怼怎么回,缺口 1.0 篇，词库里该场景 0 个可写词
2026-08-22,求职期,缺点类面试题,示弱力,面试问缺点怎么答,缺口 1.0 篇，词库里该场景 0 个可写词
2026-08-22,日常协作,会议发言抢话权,结构力/破冰力,开会插不上话怎么办,缺口 1.0 篇，词库里该场景 0 个可写词
2026-08-22,关键节点,转正答辩,结构力,转正答辩怎么讲,缺口 1.0 篇，词库里该场景 0 个可写词
2026-08-22,求职期,背调与履历核查,示弱力/化解力,背调对不上怎么解释,缺口 1.0 篇，词库里该场景 0 个可写词
2026-08-22,求职期,面试后等结果与催进度,说服力,口头offer怎么催正式,缺口 1.0 篇，词库里该场景 0 个可写词
2026-08-23,冲突危机,甩锅应对,化解力,被同事甩锅怎么回应,缺口 4.0 篇，词库里该场景 0 个可写词
2026-08-23,日常协作,被问住时怎么接话,化解力/结构力,职场被问住了怎么接话,缺口 4.0 篇，词库里该场景 0 个可写词
2026-08-23,日常协作,被冒犯时怎么回,边界力/化解力,同事阴阳怪气怎么回怼,缺口 4.0 篇，词库里该场景 0 个可写词
