关键词,场景域,场景类型,意图强度,竞争密度,人工初判,关联案例ID,状态,发布日,笔记链接,搜索来源占比,备注
晋升答辩被评委问倒怎么办,答辩述职,事件,高,待探测,中,C001,已发布,2026-08-02,https://www.xiaohongshu.com/explore/6a81e4700000000028005b44,3.3%,
晋升答辩 数据来源被追问 怎么答,答辩述职,事件,高,中,,C001,已发布,2026-08-06,,,
答辩PPT讲到一半被打断怎么办,答辩述职,事件,高,中,,C001,已发布,2026-08-13,https://www.xiaohongshu.com/explore/6a7e8c010000000025002577,,
谈薪HR说预算就这么多怎么回,谈薪,事件,高,待探测,低,,已验证,,,,｜2026-08-19已出稿：成稿_2026-08-19_预算就这么多.md，自评84分REVISE，处置=待人工（非自动发布）
绩效面谈被打低分怎么开口,日常协作,事件,中,低,,,已发布,2026-08-06,https://www.xiaohongshu.com/explore/6a7bd3d0000000002201774f,1%,同词第4篇（成稿_2026-08-08_绩效被打低分，讲理由是软词时怎么问）；止损线：发布满7天（2026-08-15）核对本列左侧「搜索来源占比」，四篇合计若未高于单篇水平即判该词饱和，停发该词，改投候选词「领导不说打低分的真实理由怎么办」
跨部门不配合怎么推动,日常协作,事件,中,待探测,,,放弃,,,,
空降新老板前30天怎么站稳,空降接手,情境,高,低,,,已发布,2026-08-06,https://www.xiaohongshu.com/explore/6a754510000000003301bd5a,,
试用期快结束没拿到结果怎么办,空降接手,情境,高,低,,,已发布,2026-08-09,,,
被裁员面谈时该说什么,离职变动,情境,高,中,,,已验证,,,,
汇报被领导打断怎么接,日常协作,症状,中,低,,,已发布,2026-08-05,https://www.xiaohongshu.com/explore/6a77df910000000022013321,,
领导不回消息该不该追问,日常协作,症状,中,低,,,已发布,2026-08-07,https://www.xiaohongshu.com/explore/6a768e1a0000000022013a94,,
说完方案领导没反应怎么办,日常协作,症状,中,低,,,已验证,,,,
面试被问离职原因怎么说,面试,事件,高,待探测,,,放弃,,,,
面试最后一问该问什么,面试,事件,高,待探测,,,放弃,,,,
述职报告开头怎么讲,答辩述职,事件,中,待探测,,C001,放弃,,,,
面试靠谱回答如果没被录用怎么办?,面试,待归类,待探测,低,,,已发布,2026-09-03,https://www.xiaohongshu.com/explore/6a9a269d0000000029018104,,
如何在面试中展示完美肢体语言,面试,待归类,待探测,高,,,已发布,2026-08-11,https://www.xiaohongshu.com/explore/6a7bd4760000000025003314,,
面试中如何展示完美肢体语言,面试,待归类,待探测,高,,,已验证,,,,
你有什么缺点？原来这才是外企面试官想听的！,面试,待归类,待探测,高,,,已验证,,,,
职场万用术：你学会了吗？,日常协作,待归类,待探测,高,,,已发布,2026-08-11,https://www.xiaohongshu.com/explore/6a7bd428000000002402471a,,
面试官是怎么看出来一个人能力差的,面试,待归类,待探测,高,,,已发布,2026-08-23,https://www.xiaohongshu.com/explore/6a8ba668000000000b024b10,0.3%,2026-08-17 已出稿待发布（成稿_2026-08-17_面试官看出能力差.md 自评87绿）；状态待真实发布后再改
如何让任何人都爱上和你聊天？人缘爆棚！,日常协作,待归类,待探测,待探测,,,候选,,,,
超级干货：如何用新闻复述法练习表达能力,日常协作,待归类,待探测,待探测,,,候选,,,,
如何快速提高表达能力？提升职场上限,日常协作,待归类,待探测,未知,,,候选,,,,
如何通过表达建立主体性，像自己那样说？,日常协作,待归类,待探测,待探测,,,候选,,,,
HR问'你的缺点'该怎么回答(一篇讲清楚),面试,待归类,待探测,中,,,已验证,,,,
"HR问""你的缺点""该怎么回答（一篇讲清楚）文字版",面试,待归类,待探测,中,,,已验证,,,,
HR问“你的缺点”该怎么回答（一篇讲清楚）文字,面试,待归类,待探测,低,,,已验证,,,,
如何让自己成为一个高配得感的人？,不属于赛道,待归类,待探测,待探测,,,放弃,,,,
如何锻炼输出表达能力,日常协作,待归类,待探测,待探测,,,候选,,,,
面试被问什么时候入职？三个角度给你答案！,空降接手,待归类,待探测,中,,,已验证,,,,
干货❗面试官最讨厌的5句话，你说过吗,面试,待归类,待探测,高,,,已验证,,,,
哭了为什么我面试前没看到这些话术,面试,待归类,待探测,高,,,已发布,2026-08-14,https://www.xiaohongshu.com/explore/6a7fc84b00000000270201a2,,
"向上汇报的关键,根本不在于你讲什么",日常协作,待归类,待探测,中,,,已验证,,,,
面试高频问题:你的优点和缺点是什么?,面试,待归类,待探测,中,,,已验证,,,,
让HR直接涨薪的离职原因 你会了吗,谈薪,待归类,待探测,低,,,已验证,,,,
向上汇报的关键，根本不在于你讲什么,日常协作,待归类,待探测,中,,,已验证,,,,
如何跳槽无缝衔接？如何离职不伤和气？,离职变动,待归类,待探测,高,,,已发布,2026-08-29,https://www.xiaohongshu.com/explore/6a938f22000000000302a10e,,
如何提升结构化表达？3步成为表达高手！,日常协作,待归类,待探测,高,,,已验证,,,,
如何改变肢体动作让你看起来更自信,面试,待归类,待探测,高,,,已验证,,,,
HR问“你的缺点”，该怎么回答？（一篇讲清楚）,面试,待归类,待探测,中,,,已验证,,,,
