日期,轮次,跑的关键词数,总抓取条数(估),本轮新增条数,记忆库累计,小红书状态,连续0新增轮数,告警,备注
2026-06-24,day1合计,~6,~110,84,84,"部分轮触发验证码,后段退网页源",0,否,"首次运行,初始化4种子+候选;per-run拆分不可考,按当日汇总回填"
2026-06-25,run1-3合计,6-8/轮,~260,139,223,run5(约16:00轮)登录成功取到真实热度;此前轮多被验证码拦截退网页源,0,否,"per-run精确拆分不可考(当日Excel:05:15/10:09/16:16),按合计回填"
2026-06-25,run4(本次),8,~330,69,292,"登录成功,8关键词全部取到真实热度;第5词后'请勿频繁操作',穿插wait 6-8s后续词仍成功",0,否,本轮XHS数据最完整;谈薪禁忌千万别犯/面试优缺点怎么说 升级活跃
2026-06-26,run1(day3首轮),8,~71(XHS+网页双源),35,327,"登录成功,8关键词全部取到真实热度+最新排序新发笔记;验证码全程仅悬浮未拦内容",0,否,面试潜台词候选首投即爆(均热13.1万全池最高)升活跃;职场委婉表达100%新增升活跃;新增候选17个;无退休
2026-06-26,run2(day3次轮),7,~80(XHS+网页双源),32,359,"登录成功,7词最新排序全部取真实热度;验证码全程仅悬浮未拦内容",0,否,视频面试技巧/面试万能话术 候选首投升活跃;反问赛道饱和命中率低;潜台词母题跨词霸榜(读懂hr潜台词8.8万);新增候选10个;无退休
2026-06-26,run3(day3三轮),8,~190(XHS+网页双源),89,448,"登录成功,8词最新排序全部取真实热度;验证码全程仅悬浮未拦内容",0,否,"候选 面试自我介绍模板/结构化表达 首投即丰收(各15条,均含1.9万-4.3万爆款)升活跃;两候选填补'自我介绍/结构化表达'新赛道;潜台词/谈薪禁忌仍有大量新发;4种子靠最新排序捞增量;新增候选10个;无退休"
2026-06-26,run4(day3四轮),8,~119(XHS+网页双源),91,539,"登录成功,8词最新排序全部取真实热度;笔记正文modal未展开(懒加载),结构按标题/热度层面假设",0,否,"三候选首投全部丰收:职场拒绝话术(14条100%全新赛道)/金字塔原理表达(12条100%但热度偏低)/面试松弛感(12条均热1.1万,含5万+4.3万爆款)三词升活跃;新增候选15个;无退休"
2026-06-27,run1(day4首轮),8,~120(XHS+网页双源),42,581,"登录成功,8词最新排序全部取真实热度,验证码全程仅悬浮未拦内容",0,否,"自我介绍万能公式候选首投丰收(12条含杨天真1万)升活跃;反PUA话术候选关系内容污染相关度低保持候选;发现关键词""面试装松弛感""被解析为穿搭噪声需改名面试松弛感;新增候选15个;无退休"
2026-06-27,run2(day4次轮),8,~125(XHS+网页双源),62,644,"登录成功,8词最新排序全部取真实热度,验证码全程仅悬浮未拦内容;笔记正文modal懒加载未展开",0,否,候选 高情商自我介绍 首投11条升活跃但与自我介绍簇重叠命中率中;谈薪赛道 薪酬谈判我悟了 27.5万为全池最高;面试什么话不能说 最新排序供给饱和新号个位数赞;新增候选约18个;无退休
2026-06-27,run3(day4三轮),8,~120(XHS+网页双源),14,658,"登录成功,8词最新排序全部取真实热度;笔记正文modal懒加载未展开,结构按标题/热度层面假设",0,否,"候选 面试必问问题 首投升活跃(3条含1.1万爆款);向上汇报话术本轮命中率最高(50%,4新);种子+潜台词+谈薪赛道供给饱和(新发笔记多个位数赞,高热集中老爆款);潜台词母题多账号复用同标题仍霸榜(37万/32.5万);新增候选14个;无退休"
2026-06-27,run4(day4四轮),8,~130(XHS+网页双源),61,718,"登录成功;懒加载需wait3s后get_page_text才出feed(本轮重要发现:前几次空feed实为读取过早);笔记正文modal未展开,结构按标题/热度假设",0,否,四候选首投全部丰收并升活跃:三明治拒绝法(母题级55.9万/16.8万)/离职原因怎么说(此前拦截本次4.6万/4.1万)/即兴表达(8万/5.5万)/麦肯锡表达(原麦肯锡逻辑表达术零结果已改名);种子全饱和(面试技巧仅2新);新增候选20个;无退休
2026-06-28,run1(day5首轮),8,~116(XHS+网页双源),46,764,"登录成功,8词最新排序全部取真实热度;笔记正文modal懒加载未展开,结构按标题/热度层面假设",0,否,"麦肯锡30秒法则候选首投升活跃(电梯演讲/30秒表达子赛道,10新但低热+营销噪声);职场反内卷话术候选首投相关度低(多躺平/反内耗心态文案+反PUA污染)保持候选;面试反问38%/谈薪技巧47%两活跃词命中率最高;4种子持续饱和(2-4新/词,新发笔记多个位数赞);新增候选20个;无退休"
2026-06-28,run2(day5次轮),8,~125(XHS+网页双源),65,829,"登录成功,8词最新排序全部取真实热度;笔记正文modal懒加载未展开,结构按标题/热度假设",0,否,候选 面试官想录用你的表现 首投即丰收(12新83%)升活跃但与潜台词簇约40%重叠;三活跃词离职/自我介绍/向上汇报命中率齐约75%;离职赛道反预期涨薪钩子+自我介绍万级密集领涨;种子持续饱和(4-5新/词);新增候选22个;无退休;修复Jun26遗留脚本误改池8行
2026-06-28,run3(day5三轮),8,~125(XHS+网页双源),43,872,"登录成功,8词最新排序全部取真实热度;笔记正文modal懒加载未稳定展开,结构按标题/热度假设",0,否,"两候选首投全部升活跃:职场会接话(12新约75%,12.7万/10.4万/8.1万多条万级,职场表达高热新赛道)/面试的顶级心态(6新约38%,5万/4.3万);同日第三轮成熟词(离职19%/谈薪13%/种子13-27%)命中率全面回落印证多轮边际递减;新增候选16个;无退休"
2026-06-28,run4(day5四轮),8,~105(XHS+网页双源),42,,"登录成功,8词最新排序全部取真实热度;笔记正文modal懒加载未稳定展开(点击ref228未展开),结构按标题/热度层面假设",0,否,"候选 职场幽默接话 首投即丰收升活跃(15新含12.7万/8.1万存量+句句带梗3.4万,幽默/段子角度填补接话簇增量);职场高情商接话模板首投60%升活跃但与接话簇约70%重叠;贵人汇报/100句高情商话术 首投但分别天花板低/恋爱污染保持候选;4种子全面饱和(面试技巧/什么话不能说 XHS零新增仅靠网页);新增候选约21个;无退休"
