日期,来源成稿,来源处置,关键词,类型,内容,适用场景
2026-08-13,成稿_2026-08-02_工资太低跳槽谈薪.md,返工,现在工资太低跳槽怎么谈薪,话术,我们需要你提供近半年的薪资流水，作为定薪参考。,HR在面试或谈薪阶段索要薪资证明时
2026-08-13,成稿_2026-08-02_工资太低跳槽谈薪.md,返工,现在工资太低跳槽怎么谈薪,框架,流水该不该给 → 怎么把锚点从历史价格挪到岗位价值 → 什么时候谈判没意义,处理低薪跳槽谈薪策略的拆解结构
2026-08-13,成稿_2026-08-02_说完方案领导没反应.md,返工,说完方案领导没反应怎么办,话术,你要递的从来不是更多论据，而是一个他能安全同意的选项。,方案汇报遭遇对方沉默或推动困难时，引导对方做决策
2026-08-13,成稿_2026-08-02_说完方案领导没反应.md,返工,说完方案领导没反应怎么办,记忆句,同一个动作，有人做了升职，有人做了出局。,阐述职场相同行为因底层逻辑不同导致不同结局
2026-08-13,成稿_2026-08-03_年终奖中途入职怎么算.md,返工,年终奖中途入职怎么算,话术,13薪里的年终奖，中途入职按在职月数折算，还是要求考核周期完整？,谈 offer 或入职沟通时向 HR 确认年终奖折算规则
2026-08-13,成稿_2026-08-03_年终奖中途入职怎么算.md,返工,年终奖中途入职怎么算,记忆句,先问口径，再谈数字。,职场谈薪、福利约定或绩效方案沟通
2026-08-13,成稿_2026-08-03_年终奖中途入职怎么算.md,返工,年终奖中途入职怎么算,框架,年终奖折算口径分两种：按在职月数比例算 vs 按考核周期是否完整算,解释中途入职/离职员工的年终奖纠纷与权益拆解
2026-08-13,成稿_2026-08-08_汇报被打断先答出处.md,返工,汇报被领导打断怎么接,话术,这版取自[系统名]，口径是[具体标准]，会后发您核对。,汇报中突然被质疑数据真实性或统计口径时，快速回应并切回主线
2026-08-13,成稿_2026-08-08_汇报被打断先答出处.md,返工,汇报被领导打断怎么接,记忆句,第一句先说清今天要他拍哪个板,向上汇报开场设计与重点前置
2026-08-13,成稿_2026-08-08_汇报被打断先答出处.md,返工,汇报被领导打断怎么接,框架,汇报被打断的三种层级：数据（出处口径）/ 结论（事实依据）/ 方向（预设偏离）,分析汇报被打断的原因分类及针对性接话策略
2026-08-13,成稿_2026-08-08_面试官没让反问是不是没戏.md,返工,面试官没让反问是不是没戏,话术,这岗位最想解决的具体问题是什么？,面试中没有机会反问时，事后追问或后续沟通的破局提问
2026-08-13,成稿_2026-08-08_面试官没让反问是不是没戏.md,返工,面试官没让反问是不是没戏,记忆句,反问是流程表上的一格，不是判决书。,安抚面试后因细节缺失而过度内耗的职场人
2026-08-13,成稿_2026-08-08_面试官没让反问是不是没戏.md,返工,面试官没让反问是不是没戏,框架,① 聊没聊到具体分工；② 问没问过到岗时间。,判断面试官跳过反问环节后，真正能测出戏份的两个核心硬信号
2026-08-13,成稿_2026-08-09_试用期没结果.md,返工,试用期快结束没拿到结果怎么办,话术,领导，我的试用期快到了，但XX项目因为[原因]卡住，预计在试用期内很难拿到最终结果。想跟您同步一下，看能不能调整这部分考核的截止时间，或者换一个可量化的验证指标。,试用期临近且因客观卡点无法按时出结果，主动向上沟通重置考核预期时
2026-08-13,成稿_2026-08-09_试用期没结果.md,返工,试用期快结束没拿到结果怎么办,记忆句,不是求宽限，是换一张考卷,项目无法按期交付、需要引导领导重新约定考核维度时
2026-08-13,成稿_2026-08-09_试用期没结果.md,返工,试用期快结束没拿到结果怎么办,框架,向上风险沟通二步法：1. 同步卡点与客观风险；2. 递交可拍板的替代动作（调时间/换指标）,项目进度落后或陷入阻碍时，向上汇报并寻求方案批复
2026-08-13,成稿_2026-08-12_综合评估没消息.md,返工,面试官说综合评估回复你且约定时间过了没消息还有希望吗,记忆句,没消息不等于没戏，只是消息还在路上,安慰焦虑求职者、缓解面试等待期的焦虑
2026-08-13,成稿_2026-08-12_综合评估没消息.md,返工,面试官说综合评估回复你且约定时间过了没消息还有希望吗,话术,只问进展，别问结果,教职场人如何跟进面试结果而不显得催促
2026-08-13,成稿_2026-08-12_综合评估没消息.md,返工,面试官说综合评估回复你且约定时间过了没消息还有希望吗,框架,1-3个工作日正常延迟不开口 / 超过3天主动跟进一次,回答面试等待期多长时间该跟进的决策场景
2026-08-13,成稿_2026-08-13_汇报被打断分三种.md,返工,汇报被领导打断怎么接,话术,这版取自 BI 日报，口径是当月新客、剔除退款，我发您核对。,汇报被质询数据来源或计算口径时，一句话交清信息并快速切回主线
2026-08-13,成稿_2026-08-13_汇报被打断分三种.md,返工,汇报被领导打断怎么接,记忆句,打断是信号，不是意外。,汇报被打断时的心态建设与认知重塑
2026-08-13,成稿_2026-08-13_汇报被打断分三种.md,返工,汇报被领导打断怎么接,记忆句,打断成了常态，要改的就不是接法。,频繁被同一领导打断、需要向上重塑沟通机制时
2026-08-13,成稿_2026-08-13_汇报被打断分三种.md,返工,汇报被领导打断怎么接,框架,质疑应对四步法：交代出处 + 说明口径 + 给定动作 + 切回主线,处理职场汇报中对事实/数据细节的现场追问
2026-08-13,成稿_2026-08-13_答辩最后一页结束语.md,返工,答辩ppt最后一页结束语,话术,答辩PPT最后一页结束语要干的，是把“我做了什么”换算成“我现在能接住什么”。,职场述职或晋级答辩中，指导读者提炼汇报总结与结束语
2026-08-13,成稿_2026-08-13_答辩最后一页结束语.md,返工,答辩ppt最后一页结束语,记忆句,收的从来不是场，是结论。,任何职场汇报、答辩或演讲的收尾落点引导
2026-08-13,成稿_2026-08-13_答辩最后一页结束语.md,返工,答辩ppt最后一页结束语,框架,答辩最后一页场景拆解：晋级答辩（能力位移+下一步）/ 季度述职（成果换算+后续承接）/ 毕业答辩（研究价值+待改进）。,不同答辩场景下的 PPT 最后一页内容规划
2026-08-13,成稿_2026-08-13_绩效被打低分.md,返工,绩效面谈被打低分怎么开口,话术,这块我想对齐一下标准——是跨部门推进时我沟通不到位，还是日常协作里有人反馈过？您给我一个例子，我下半年照着改。,绩效面谈中领导用‘主动性不够/人际关系不好’等主观软词给低分时，逼对方给出具体案例。
2026-08-13,成稿_2026-08-13_绩效被打低分.md,返工,绩效面谈被打低分怎么开口,记忆句,要的是例子，不是澄清。,面对职场抽象负面评价、软打击时的回应核心原则。
2026-08-13,成稿_2026-08-13_绩效被打低分.md,返工,绩效面谈被打低分怎么开口,框架,低分理由三分法：数据项目类（对照补材料）、软词评价类（要具体例子）、明确摊牌类（留痕防裁员）。,分析绩效低分原因并匹配不同应对策略的分类结构。
2026-08-13,成稿_2026-08-13_面试反问怎么问才显得有诚意.md,返工,面试反问环节该怎么问才显得有诚意,话术,我看JD里写的是××，我猜核心是先把流程跑通。如果是我来做，第一个月先抓这条线。不知道和您那边的判断差多少？,面试反问环节被面试官反手将问题抛回时，用来落地具体判断并接回话题
2026-08-13,成稿_2026-08-13_面试反问怎么问才显得有诚意.md,返工,面试反问环节该怎么问才显得有诚意,记忆句,你答得出来，他才信你问得出来,阐述面试反问核心逻辑或职场中输出观点需要一针见血时
2026-08-13,成稿_2026-08-13_面试反问怎么问才显得有诚意.md,返工,面试反问环节该怎么问才显得有诚意,框架,面试官回球的三种分类：A 把原问题反问回你 / B 评价没什么挑战或了解不够 / C 真正开始探讨,拆解面试反问应对策略或复盘面试局面时
2026-08-14,成稿_2026-08-07_汇报被打断.md,归档,汇报被领导打断怎么接,话术,这个数取自 BI 后台的活动日报，口径是7月的新客首单，我发您核对。,汇报中数据被领导当场质疑来源时
2026-08-14,成稿_2026-08-08_数据还没出来先给日子.md,归档,汇报时数据还没出来怎么说,话术,等一下，这个数据是哪个系统出的？我怎么记得之前看的是另一个数？,职场汇报中面对领导对数据出处或准确性提出质疑的场景
2026-08-14,成稿_2026-08-08_数据还没出来先给日子.md,归档,汇报时数据还没出来怎么说,记忆句,领导打断你，要核的往往不是那个数字。,职场汇报中解释被打断心理机制的文案
2026-08-14,成稿_2026-08-08_数据还没出来先给日子.md,归档,汇报时数据还没出来怎么说,框架,这事能不能往下走、什么时候有定论、出不来砸到谁,分析领导在汇报中关注的核心要素结构
