关键词,类型,来源,运行次数,累计新增条数,平均热度,命中率,首次发现,最近运行
职场表达,种子,固定种子词,178,run7(2026-08-18)_0/18=0.0%; 29,约29,run7(2026-08-18)_0/18=0.0% | 08-18run2_5/18=27.8% | 08-18run4_1/20=5.0% | 08-18run6_10/11=90.9%,2026-07-17,2026-08-18
面试技巧,种子,固定种子词,180,run7(2026-08-18)_1/20=5.0%; run5(2026-08-18)_0/20=0.0%; 2+8(run6),约23（1条样本）,run7(2026-08-18)_1/20=5.0% | run5(2026-08-18)_0/20=0.0% | 08-18run2_0/20=0.0% | 08-18run4_0/20=0.0% | 08-18run6_8/15=53.3%(过滤3条纯技术岗笔试题+4条低相关),2026-07-17,2026-08-18
面试什么话该说,种子,固定种子词,179,run7(2026-08-18)_0/19=0.0%; run5(2026-08-18)_0/19=0.0%; 2+11(run6),约14,run7(2026-08-18)_0/19=0.0% | run5(2026-08-18)_0/19=0.0% | 08-18run2_1/19=5.3% | 08-18run4_1/20=5.0% | 08-18run6_11/14=78.6%,2026-07-17,2026-08-18
面试什么话不能说,种子,固定种子词,178,16,约63,08-18run2_3/11=27.3% | 08-18run4_1/20=5.0% | 08-18run6_10/12=83.3%,2026-07-17,2026-08-18
视频面试技巧,活跃,大家都在搜;run2_无XHS(Chrome未连接),5,27,"约15(08-03run4,8条样本:48/35/2/2/8/1/13/11)","run2_5/11≈45.5%(XHS4/5+web1/6,活跃复查)",2026-06-24,2026-08-04
社招面试自我介绍,活跃,大家都在搜,3,run3(2026-08-18)_2/19=10.5%; 11,约820（2条样本）,"run3(2026-08-18)_2/19=10.5% | 08-02run1_8/8=100.0%(当日首轮,XHS+web合计;新增8条)",2026-06-24,2026-08-18
面试反问,活跃,大家都在搜,24,129,1474,"run2_30%(3新/~10抓;一亩三分地反问帖/知乎反问场景还原/简历网分寸感);run4_38%(3新/8抓;送命题/AI反问),HR视角/分寸感等差异角度有增量);run4_33.3%(14新/42抓;XHS12+web2;时隔4天复查[上次07-14],主动反问/反问逆袭话题仍有充沛供给,与新候选""面试反杀hr""形成防御vs进攻流量互证);run3_31.3%(5新/16抓;XHS13+web3;我用这样的反问拿下大厂offer/MIT面霸奉劝会反问2条XHS+校招反问攻略/5个问题让hr哑口无言/你还有什么问题要问的3条web新增,时隔1天复查仍有中等供给);07-20run3_10.0%(3新/30抓;XHS20+web10;美国面试结束时HR问any questions该问什么/面试最后反问这3个问题面试官当场改印象2条XHS+土木建筑学院官网HR超爱听的5个面试反问1条web新增,时隔1天复查供给延续零星);本轮活跃复查新增1条XHS(面试反问如何一箭三雕例子纯享版,36赞);5.0%(1新/20抓;07-31;距上次运行07-20隔11天复查,命中率低于预期,值得关注是否进入长期饱和",2026-08-05,—
英文面试技巧,活跃,大家都在搜,5,29,约8455(8455/6613新领涨),"run5_0/10=0%(长空档复查[距07-08隔27天]仍深度饱和,结果被历史高赞老帖主导)",2026-06-24,2026-08-04
大学生面试技巧,候选,大家都在搜,1,2,约1.2万,首投约15%(2新;1.2万/—;与面试技巧簇约80%重叠但应届生子赛道有增量),2026-06-24,2026-07-02
线上面试话术,活跃,大家都在搜,3,run4(2026-08-16)_2/20=10.0%; 7,约1870（2条样本）,"run4(2026-08-16)_2/20=10.0% | run4,2/18=11.1%;run4二次复查(距07-07首投隔24天),XHS新发现1条(头部大厂高阶leader系列,6699赞);web侧新增1条(应届生线上视频面试)",2026-06-24,2026-08-16
